,subject,name,review,time,location,sentiments
107,Hospitality at its finest,Warren Albert V,"Great views to the city and the sea. The infinity pool is a must see. The service is nice. Is stayed one of the club rooms with the access to the club lounge for breakfast and evening drinks. Gym is nice,  facing the city with...More",Reviewed 2 weeks ago ,None,Positive
108,Impressive,Ogi0,Our family of four (2 adults and 2 kids aged 9 and 11) had booked a club room for two nights in Marina Bay Sands. Unfortunately due to bad weather conditions in Europe our flight was delayed for 20 hours and we only managed to...More,Reviewed 2 weeks ago ,"Sofia, Bulgaria",Negative
109,If you go to Singapore stay here!,luislellis,"I have to admit, I booked this place with a lot of reservations having read very mixed reviews about this hotel from reviews. However given that I could only access THE infinity pool as a guest which they actually did enforced very strictly, I decided...More",Reviewed 2 weeks ago ,"Rio de Janeiro, RJ",Neutral
110,Main attraction,vdcb,"Dominating the Singapore skyline the Marina Bay Sands is a world class destination with many treasures to discover. Above this, however is the quality of the staff. These great emissaries of Singaporean hospitality are attentive, smiling and courteous. High marks goes to the HR department...More",Reviewed 2 weeks ago ,"Dubendorf, Switzerland",Positive
111,Great view from the pool,pkt117,Marina bay is unique in many ways. Previously I have struggled to enjoy this place as it is like a giant bus port and the room finishings were cheap. However I am please to report that they have lifted there game and the room we...More,Reviewed 2 weeks ago ,"Bristol, United Kingdom",Positive
112,A must visit. Spectacular,drankur04,"Stayed here overnight post cruise, had high expectation initially but left with ok feelings. The room size was ok, was on the 2nd floor facing a busy road so no view to speak of; everything clean and worked. The pool on top of the hotel...More",Reviewed 3 weeks ago ,"Chandigarh, India",Positive
113,Overstuffed and check in is shocking,alisonw743,"Dear r_yeu,

Thank you for taking the time to share your feedback on TripAdvisor.  

Though I am happy to note that you enjoyed your dining experience on property and your time spent at the Sands SkyPark Observation Deck, I am disappointed to read that your...More",Reviewed 3 weeks ago ,Bristol,Positive
114,Incredible ,Barbs25,"It was our first time going to Marina bay sands and we didn't know how to go around that much. However the staff made it very easy for us to be ""AT HOME"" making our stay very pleasant. The Sky deck infinity pool staff was...More",Reviewed 3 weeks ago ,"Staffordshire, United Kingdom",Positive
115,Too packed,pandaat501,"Extremely impressive building, the façade is visible from the entire center of Singapore. The hotel is huge, there is a shopping mall and a casino. In the evening there is a very interesting light show - Spectra.",Reviewed 3 weeks ago ,Singapore,Positive
116,Amazing hotel,Natasha S,You can’t stay anywhere else when visiting Singapore. It is pricy but it worth at least one nigh so you can spend time at the pool. Some rooms are by the Gardens by the Bay and the view is spectacular! Besides the whole complex with...More,Reviewed 3 weeks ago ,None,Positive
117,"Like A Small City, But Staff Are Like Family",Lawrence B,Well there are so many things to do or to see in and around the hotel you need several days to do all the stuff. It's nearly a must do because of the pool but the rest of the hotel itself like the rooms and...More,Reviewed 3 weeks ago ,"Lahore, Pakistan",Positive
118,Great time,A TripAdvisor Member,"The is an excellent hotel with great restaurants & right next to a mega designer shopping mall.
The place to visit & stay plus the view from the infinity pool & bar is amazing.
It has good links to all the major sites.",Reviewed 3 weeks ago ,None,Positive
119,Very great hotel with great hospitality n features,Nyamfoodies,"Marina Bay Sands is a beautiful wonder in itself. From top floor deck, restaurant, casino, hotel, night club and the famous Infinity Pool. It has everything in it. You'll take two days to explore it. Hotel is awesome to stay. Only inhouse guests can use...More",Reviewed 3 weeks ago ,None,Positive
120,Visually stunning,mrmcdeez,"Visually stunning hotel, rooms were immaculate but the check in is shocking a long wait to see the check in staff.
You cannot move for people as the hotel is a tourist attraction in its own right and the rooftop pool was packed with people...More",Reviewed 3 weeks ago ,"Seattle, Washington",Positive
121,Such a Masterpiece! ,kem2009,"Dear alisonw743,

Thank you for your valuable feedback. 

Though I am glad to read that you enjoyed your appointed accommodation, I am disheartened to learn that your stay with us was not a complete success. Please rest assured that we will continue to monitor ways...More",Reviewed 3 weeks ago ,Houston,Positive
122,Didn't Disappoint!,arieshorse,"We stayed here for one night while in the city for my boyfriends birthday. There simply aren’t enough words to describe how incredible this place really is. 
From start to finish the service is just next level truly one of the best days of our...More",Reviewed 3 weeks ago ,"Houston, Texas",Positive
123,"Five stars for the view, cleanliness, service and Club55!",EmmaLovesLife,The rooms are big and clean. The toilets are big too. It's better to get a city view room as it offers a prettier view but also more expensive. It is noisy at the lobby and also at the swimming pool area. There are a...More,Reviewed 3 weeks ago ,"New York City, New York",Positive
124,Great busy hotel,Anastacia V,"Dear pandaat501,

Thank you for sharing your review on TripAdvisor. 

Though I am glad to read that you enjoyed your appointed accommodation, I regret to note that your stay with us was not a complete success. Please rest assured that your feedback is important to...More",Reviewed 3 weeks ago ,"County Galway, Ireland",Positive
125,One of the Grandest Hotels,thawnkhai,"We stayed at this hotel in January, 2018

This is a must visit hotel when you are in Singapore..loved the experience at the infinity pool

Rooms have an amazing view, a lot to explore in and around the hotel..",Reviewed 3 weeks ago ,"Yangon (Rangoon), Myanmar",Positive
126,Singapore 5 day stop over,kirsty2010,"Wonderful, one of the best experiences in a huge Hotel Complex. I am always in awe of Singapore every time I visit...one of the best holiday destinations in the world. The Marina Bay Sands is an extraordinary hotel over 55 stories, and the Infinity pool,...More",Reviewed 3 weeks ago ,Hawaii,Positive
127,Modern hotel with conference center and shopping mall,Pocohobby,"I had a wonderful stay here with my friends. Dennis- the skylark attendant made sure I had everything I needed and then some. He recommended the Hello Kitty drink, and I’m still wanting one a year later. I look forward to returning to this hotel...More",Reviewed 3 weeks ago ,Warschau,Positive
128,Like staying in a highly watched circus,QuickWhitTravel,"Always comes here because my friend always got a promotion from marina bay sands as he is a membership from the casino, so it was free!

And everything so comfy, yet clean, and so many features.. u can go to the top for swimming and...More",Reviewed 3 weeks ago ,"Washington DC, District of Columbia",Positive
129,Lively and Fun on the waterfront ,Karenjo G,"This hotel was one of the main reasons I wanted to visit Singapore. We were flying to Singapore on our way to Bali for our honeymoon and I almost immediately booked the Marina Bay. 

We arrived a little early in the day and our room...More",Reviewed 3 weeks ago ,"Calabasas, California",Neutral
130,Better experience with a Grand King room,Lucas S,"Visited with a friend and we had a bottle of champagne at CE LA VI Lounge. Best spot to enjoy the view and a bit quieter than Sky View. Perhaps service could improve a bit but apart from it, we enjoyed our visit.",Reviewed 3 weeks ago ,"London, United Kingdom",Positive
131,Infinity Pool!!,Ticketytwo,I love the infinity pool! So relaxing up there! The jacuzzi was awesome too! Staff was amazing and friendly. I'll come back again here! So many things to do just around this hotel. I just love the pool!!!,Reviewed 3 weeks ago ,"New York City, New York",Positive
